방류기간,기관,품종,방류구분,방류물량1,단위,방류물량2,단위,사업비-국비(천원),사업비-지방비-광역시비(천원),사업비-지방비-도비(천원),사업비-지방비-구비(천원),사업비-지방비-시군구(천원),사업비-지방비-기타(천원),사업비-지방비-소계(천원),사업비-민간(천원),사업비-자담(천원),사업비-총액(천원),계약단가(원),기초단가(공고단가)(원),크기(cm 이상),체중(gram),사업구분,사업명,담당자,전화번호,방류장소명,업체명,사업자번호,대표자,업체주소,비고
2023-01-01 ~ 2023-12-31,경상북도 포항시,전복,매입방류,8348,마리,0,,0,0,5660,0,0,0,5660,0,0,5660,678,810,,,지자체사업/수산종자관리사업,수산종자매입방류,이상목,054-270-2744,경상북도 포항시 남구 구룡포읍 장길리 436,,,,,
2023-01-01 ~ 2023-12-31,경상북도 포항시,전복,매입방류,8348,마리,0,,0,0,5660,0,0,0,5660,0,0,5660,678,810,,,지자체사업/수산종자관리사업,수산종자매입방류,이상목,054-270-2744,경상북도 포항시 남구 장기면 두원리 산92,,,,,
2023-01-01 ~ 2023-12-31,경상북도 포항시,전복,매입방류,8348,마리,0,,0,0,5660,0,0,0,5660,0,0,5660,678,810,,,지자체사업/수산종자관리사업,수산종자매입방류,이상목,054-270-2744,경상북도 포항시 북구 청하면 청진리 158-1,,,,,
2023-01-01 ~ 2023-12-31,경상북도 포항시,전복,매입방류,8348,마리,0,,0,0,5660,0,0,0,5660,0,0,5660,678,810,,,지자체사업/수산종자관리사업,수산종자매입방류,이상목,054-270-2744,경상북도 포항시 북구 두호동,,,,,
2023-01-01 ~ 2023-12-31,전라남도 진도군,전복,매입방류,150875,마리,0,,0,0,58300,0,6400,0,64700,0,0,64700,429.16,429.16,각장 3.5,,지자체사업/수산종자관리사업,수산종자매입방류,신옥주,061-540-3563,전라남도 진도군 진도읍 철마길 25,,--,,,
2023-01-01 ~ 2023-12-31,전라남도 진도군,꽃게,매입방류,15927,마리,0,,0,0,3400,0,400,0,3800,0,0,3800,275,275,각장 1.0,,지자체사업/수산종자관리사업,수산종자매입방류,신옥주,061-540-3563,전라남도 진도군 진도읍 철마길 25,,--,,,
2023-01-01 ~ 2023-12-31,전라남도 진도군,꽃게,매입방류,181818,마리,0,,0,0,39600,0,4400,0,44000,0,0,44000,275,275,각장 1.0,,지자체사업/수산종자관리사업,수산종자매입방류,신옥주,061-540-3563,전라남도 진도군 진도읍 철마길 25,,--,,,
2023-01-01 ~ 2023-12-31,전라남도 진도군,전복,매입방류,174719,마리,0,,0,0,67500,0,7500,0,75000,0,0,75000,429.26,429.26,각장 3.5,,지자체사업/수산종자관리사업,수산종자매입방류,신옥주,061-540-3563,전라남도 진도군 진도읍 철마길 25,,--,,,
2023-09-14 ~ 2023-09-14,경상남도 창녕군,붕어,매입방류,100000,마리,0,,0,0,18000,0,2000,0,20000,0,0,20000,200,210,전장 7~9,4~5,지자체사업/수산종자관리사업,수산종자매입방류,안웅희,055-530-6064,경상남도 창녕군 유어면 미구리 588,,,,,붕어 치어 10만미 방류
2023-08-04 ~ 2023-08-04,경상남도 창녕군,잉어,매입방류,100000,마리,0,,0,0,18000,0,2000,0,20000,0,0,20000,200,210,전장 7~9,3.5~4.5,지자체사업/수산종자관리사업,수산종자매입방류,안웅희,055-530-6064,경상남도 창녕군 유어면 미구리 588,,,,,잉어 치어 10만미 방류
2023-04-10 ~ 2023-04-10,여수수산업협동조합,전복,매입방류,39100,마리,0,,0,0,0,0,0,0,0,23000,2000,25000,640,640,,,기타 지자체사업,2023 희망의 바다만들기 운동-수산종자방류,김창록,061-640-3019,전라남도 여수시 남면 연도리 1487,,--,,,"중앙회 보조금 : 18,000,000원
여수수협 자담금 : 2,000,000원
어촌계 자담금 5,000,000원"
2023-01-01 ~ 2023-12-31,충청북도 진천군,붕어,매입방류,37345,마리,0,,0,0,2000,0,4667,0,6667,0,0,6667,167.4,180,전장 5,0.6~0.66,지자체사업/수산종자관리사업,수산종자매입방류,황지애,043-539-3566,충청북도 진천군 초평면 화산리 1010,,--,,,붕어 방류
2023-01-01 ~ 2023-12-31,충청북도 진천군,붕어,매입방류,169059,마리,0,,0,0,22500,0,2500,0,25000,0,0,25000,171,180,전장 5,0.6~0.66,지자체사업/수산종자관리사업,수산종자매입방류,황지애,043-539-3566,충청북도 진천군 진천읍 건송리 269-4,,--,,,붕어 방류
2023-01-01 ~ 2023-12-31,경상북도 포항시,해삼,매입방류,10402,마리,16,kg,0,0,0,0,5660,0,5660,0,0,5660,544.12,610,,,지자체사업/수산종자관리사업,수산종자매입방류,이상목,054-270-2744,경상북도 포항시 북구 환여동 산38-1,,,,,
2023-01-01 ~ 2023-12-31,경상북도 포항시,해삼,매입방류,23339,마리,35,kg,0,0,9600,0,2400,0,12000,0,0,12000,514.15,610,,,지자체사업/수산종자관리사업,수산종자매입방류,이상목,054-270-2744,경상북도 포항시 북구 청하면 월포리 456-2,,,,,
2023-01-01 ~ 2023-12-31,경상북도 포항시,해삼,매입방류,23339,마리,35,kg,0,0,9600,0,2400,0,12000,0,0,12000,514.15,610,,,지자체사업/수산종자관리사업,수산종자매입방류,이상목,054-270-2744,경상북도 포항시 북구 송라면 봉화길245번길 19 화전2리마을회관,,,,,
2023-01-01 ~ 2023-12-31,경상북도 포항시,해삼,매입방류,11008,마리,16,kg,0,0,4528,0,1132,0,5660,0,0,5660,514.15,610,,,지자체사업/수산종자관리사업,수산종자매입방류,이상목,054-270-2744,경상북도 포항시 북구 흥해읍 오도리,,,,,
2023-01-01 ~ 2023-12-31,경상북도 포항시,해삼,매입방류,11008,마리,16,kg,0,0,4528,0,1132,0,5660,0,0,5660,514.15,610,,,지자체사업/수산종자관리사업,수산종자매입방류,이상목,054-270-2744,경상북도 포항시 남구 동해면 입암리 425-3,,,,,
2023-01-01 ~ 2023-12-31,경상북도 포항시,해삼,매입방류,11008,마리,16,kg,0,0,4528,0,1132,0,5660,0,0,5660,514.15,610,,,지자체사업/수산종자관리사업,수산종자매입방류,이상목,054-270-2744,경상북도 포항시 북구 청하면 이가리 903-8,,,,,
2023-01-01 ~ 2023-12-31,경상북도 포항시,해삼,매입방류,11008,마리,16,kg,0,0,4528,0,1132,0,5660,0,0,5660,514.15,610,,,지자체사업/수산종자관리사업,수산종자매입방류,이상목,054-270-2744,경상북도 포항시 북구 흥해읍 칠포리 239-1,,,,,
2023-01-01 ~ 2023-12-31,경상북도 포항시,해삼,매입방류,11008,마리,16,kg,0,0,4528,0,1132,0,5660,0,0,5660,514.15,610,,,지자체사업/수산종자관리사업,수산종자매입방류,이상목,054-270-2744,경상북도 포항시 북구 청하면 이가리 136-31,,,,,
2023-01-01 ~ 2023-12-31,경상북도 포항시,해삼,매입방류,11008,마리,16,kg,0,0,4528,0,1132,0,5660,0,0,5660,514.15,610,,,지자체사업/수산종자관리사업,수산종자매입방류,이상목,054-270-2744,경상북도 포항시 북구 송라면 방석리 441-5,,,,,
2023-01-01 ~ 2023-12-31,경상북도 포항시,해삼,매입방류,11008,마리,16,kg,0,0,4528,0,1132,0,5660,0,0,5660,514.15,610,,,지자체사업/수산종자관리사업,수산종자매입방류,이상목,054-270-2744,경상북도 포항시 남구 동해면 발산리 195-2,,,,,
2023-01-01 ~ 2023-12-31,경상북도 포항시,해삼,매입방류,11008,마리,16,kg,0,0,4528,0,1132,0,5660,0,0,5660,514.15,610,,,지자체사업/수산종자관리사업,수산종자매입방류,이상목,054-270-2744,경상북도 포항시 남구 장기면 양포리 산88,,,,,
2023-01-01 ~ 2023-12-31,경상북도 포항시,해삼,매입방류,11008,마리,16,kg,0,0,4528,0,1132,0,5660,0,0,5660,514.15,610,,,지자체사업/수산종자관리사업,수산종자매입방류,이상목,054-270-2744,경상북도 포항시 북구 청하면 방어리,,,,,
2023-01-01 ~ 2023-12-31,경상북도 포항시,해삼,매입방류,11008,마리,16,kg,0,0,4528,0,1132,0,5660,0,0,5660,514.15,610,,,지자체사업/수산종자관리사업,수산종자매입방류,이상목,054-270-2744,경상북도 포항시 북구 흥해읍 칠포리 548-2,,,,,
2023-01-01 ~ 2023-12-31,경상북도 포항시,해삼,매입방류,14392,마리,21,kg,0,0,5920,0,1480,0,7400,0,0,7400,514.15,610,,,지자체사업/수산종자관리사업,수산종자매입방류,이상목,054-270-2744,경상북도 포항시 북구 흥해읍 오도리 148-6,,,,,
2023-01-01 ~ 2023-12-31,경상북도 포항시,해삼,매입방류,8454,마리,13,kg,0,0,0,0,4600,0,4600,0,0,4600,544.12,610,,,지자체사업/수산종자관리사업,수산종자매입방류,이상목,054-270-2744,경상북도 포항시 북구 흥해읍 오도리 148-6,,,,,
2023-01-01 ~ 2023-12-31,경상북도 포항시,해삼,매입방류,22053,마리,33,kg,0,0,0,0,12000,0,12000,0,0,12000,544.12,610,,,지자체사업/수산종자관리사업,수산종자매입방류,이상목,054-270-2744,경상북도 포항시 남구 동해면 발산리 284-8,,,,,
2023-01-01 ~ 2023-12-31,경상북도 포항시,해삼,매입방류,22053,마리,33,kg,0,0,0,0,12000,0,12000,0,0,12000,544.12,610,,,지자체사업/수산종자관리사업,수산종자매입방류,이상목,054-270-2744,경상북도 포항시 북구 송라면 조사리 723-1,,,,,
2023-01-01 ~ 2023-12-31,경상북도 포항시,해삼,매입방류,23339,마리,35,kg,0,0,9600,0,2400,0,12000,0,0,12000,514.15,610,,1~7,지자체사업/수산종자관리사업,수산종자매입방류,이상목,054-270-2744,경상북도 포항시 남구 동해면 입암리 573-10,,,,,
2023-01-01 ~ 2023-12-31,경상북도 포항시,해삼,매입방류,23339,마리,35,kg,0,0,9600,0,2400,0,12000,0,0,12000,514.15,610,각장 3.5,,지자체사업/수산종자관리사업,수산종자매입방류,이상목,054-270-2744,경상북도 포항시 남구 장기면 모포리,,,,,
2023-11-09 ~ 2023-11-09,수협중앙회,해삼,매입방류,61796,마리,73,kg,0,0,0,0,0,0,0,0,22500,22500,370,370,,,기타 지자체사업,수협중앙회 희망의 바다 만들기 운동,성승규,02-2240-2262,전라남도 고흥군 포두면 오취리,,,,,고흥군수협
2023-12-13 ~ 2023-12-13,수협중앙회,해삼,매입방류,50000,마리,59,kg,0,0,0,0,0,0,0,0,23000,23000,460,460,,,기타 지자체사업,수협중앙회 희망의 바다 만들기 운동,성승규,02-2240-2262,전북특별자치도 부안군 위도면 치도리,,,,,부안수협
2023-12-06 ~ 2023-12-06,수협중앙회,해삼,매입방류,29091,마리,29,kg,0,0,0,0,0,0,0,0,16000,16000,550,550,,,기타 지자체사업,수협중앙회 희망의 바다 만들기 운동,성승규,02-2240-2262,강원특별자치도 양양군 현남면 남애리,,,,,양양군수협
2023-11-30 ~ 2023-11-30,수협중앙회,홍해삼,매입방류,26233,마리,36,kg,0,0,0,0,0,0,0,0,25000,25000,953,953,,,기타 지자체사업,수협중앙회 희망의 바다 만들기 운동,성승규,02-2240-2262,제주특별자치도 제주시 조천읍 신흥리,,,,,제주시수협
2023-11-28 ~ 2023-11-28,수협중앙회,해삼,매입방류,46512,마리,61,kg,0,0,0,0,0,0,0,0,20000,20000,430,430,,,기타 지자체사업,수협중앙회 희망의 바다 만들기 운동,성승규,02-2240-2262,경상남도 통영시 사량면 돈지리,,,,,사량수협
2023-11-28 ~ 2023-11-28,수협중앙회,해삼,매입방류,51111,마리,54,kg,0,0,0,0,0,0,0,0,23000,23000,450,450,,,기타 지자체사업,수협중앙회 희망의 바다 만들기 운동,성승규,02-2240-2262,전라남도 완도군 금일읍 신구리,,,,,완도금일수협
2023-11-27 ~ 2023-11-27,수협중앙회,전복,매입방류,28396,마리,0,,0,0,0,0,0,0,0,0,23000,23000,810,810,,,기타 지자체사업,수협중앙회 희망의 바다 만들기 운동,성승규,02-2240-2262,경상남도 통영시 한산면 비진리,,,,,통영수협
2023-11-23 ~ 2023-11-23,수협중앙회,쏨뱅이,매입방류,40910,마리,0,,0,0,0,0,0,0,0,0,22500,22500,550,550,,,기타 지자체사업,수협중앙회 희망의 바다 만들기 운동,성승규,02-2240-2262,제주특별자치도 제주시 한경면 용수리,,,,,제주어류양식수협
2023-11-21 ~ 2023-11-21,수협중앙회,해삼,매입방류,64280,마리,85,kg,0,0,0,0,0,0,0,0,22500,22500,350,350,,,기타 지자체사업,수협중앙회 희망의 바다 만들기 운동,성승규,02-2240-2262,전북특별자치도 군산시 옥도면 연도리,,,,,군산시수협
2023-10-28 ~ 2023-10-29,수협중앙회,바지락,매입방류,3193125,마리,8515,kg,0,0,0,0,0,0,0,0,23000,23000,2700,2700,,,기타 지자체사업,수협중앙회 희망의 바다 만들기 운동,성승규,02-2240-2262,전라남도 장흥군 안양면 사촌리,,,,,장흥군수협
2023-11-21 ~ 2023-11-21,수협중앙회,전복,매입방류,28125,마리,0,,0,0,0,0,0,0,0,0,22500,22500,800,800,,,기타 지자체사업,수협중앙회 희망의 바다 만들기 운동,성승규,02-2240-2262,경상북도 울진군 북면 나곡리,,,,,울진죽변수협
2023-11-20 ~ 2023-11-20,수협중앙회,개조개,매입방류,164000,마리,0,,0,0,0,0,0,0,0,0,26000,26000,250,250,,,기타 지자체사업,수협중앙회 희망의 바다 만들기 운동,성승규,02-2240-2262,경상남도 거제시 장목면 유호리,,,,,1-2구잠수기수협
2023-11-16 ~ 2023-11-16,수협중앙회,바지락,매입방류,2579310,마리,7480,kg,0,0,0,0,0,0,0,0,22500,22500,3200,3200,,,기타 지자체사업,수협중앙회 희망의 바다 만들기 운동,성승규,02-2240-2262,전라남도 영광군 홍농읍 칠곡리,,,,,영광군수협
2023-11-14 ~ 2023-11-14,수협중앙회,홍해삼,매입방류,11793,마리,16,kg,0,0,0,0,0,0,0,0,11250,11250,954,954,,,기타 지자체사업,수협중앙회 희망의 바다 만들기 운동,성승규,02-2240-2262,제주특별자치도 서귀포시 표선면 표선리,,,,,성산포수협
2023-11-14 ~ 2023-11-14,수협중앙회,전복,매입방류,12136,마리,0,,0,0,0,0,0,0,0,0,11250,11250,927,927,,,기타 지자체사업,수협중앙회 희망의 바다 만들기 운동,성승규,02-2240-2262,제주특별자치도 서귀포시 표선면 하천리,,,,,성산포수협
2023-10-31 ~ 2023-10-31,수협중앙회,바지락,매입방류,2909091,마리,6400,kg,0,0,0,0,0,0,0,0,23000,23000,3600,3600,,,기타 지자체사업,수협중앙회 희망의 바다 만들기 운동,성승규,02-2240-2262,전라남도 해남군 북일면 내동리,,,,,해남군수협
2023-10-30 ~ 2023-10-30,수협중앙회,바지락,매입방류,1919736,마리,7032,kg,0,0,0,0,0,0,0,0,22500,22500,3200,3200,,,기타 지자체사업,수협중앙회 희망의 바다 만들기 운동,성승규,02-2240-2262,인천광역시 중구 을왕동,,,,,인천수협
2023-05-01 ~ 2023-06-20,경인서부수협,바지락,매입방류,461909,마리,3473,kg,0,0,0,0,0,0,0,10000,2500,12500,3600,3600,전장 3.395,5~9.6,기타 지자체사업,경인서부수협 어촌계지원사업,유종연,010-9590-4262,경기도 안산시 단원구 대부남동,,,,,
2023-01-01 ~ 2023-12-31,경인서부수협,바지락,매입방류,305580,마리,2778,kg,0,0,0,0,0,0,0,8000,2000,10000,3600,3600,전장 3.518,7~11,기타 지자체사업,경인서부수협 어촌계지원사업,유종연,010-9590-4262,경기도 안산시 단원구 선감동,,,,,
2023-01-01 ~ 2023-12-31,경상남도 통영시,전복,생산방류,175316,마리,0,,0,0,0,0,100000,0,100000,0,25000,125000,713,748,각장 3.5,7.4~7.7,지자체사업/수산종자관리사업,전복살포사업,정성욱,055-650-5163,경상남도 통영시 산양읍 미남리 외 6개소,,--,,,
2023-01-01 ~ 2023-12-31,경상남도 통영시,전복,생산방류,284496,마리,0,,0,0,0,0,160000,0,160000,0,40000,200000,703,748,각장 3.5,7.4~7.7,지자체사업/수산종자관리사업,전복살포사업,정성욱,055-650-5163,경상남도 통영시 한산면 용호리 외 7개소,,--,,,
2023-06-19 ~ 2023-06-23,경상북도 청도군,다슬기,매입방류,354188,마리,0,,0,0,1700,0,3967,0,5667,0,0,5667,16,16,전장 0.75,,기타 지자체사업,경제성종자방류사업,김지원,054-370-2373,경상북도 청도군 금천면 동곡리 산2-15,,--,,,경상북도 청도군 금천면 동산리 새들보 인근 동창천 다슬기 35만이 방류
2023-05-08 ~ 2023-05-09,경상남도 통영시,바지락,매입방류,140510,마리,9750,kg,0,0,4800,0,11200,0,16000,0,4000,20000,2300,2650,,,기타 지자체사업,마을앞바다 소득원 조성사업,정성욱,055-650-5163,경상남도 통영시 도산면 법송리,,--,,,"마리당 예상 중량:69.39g

계약단가 및 기초단가: kg 기준"
2023-11-21 ~ 2023-11-21,경상남도 통영시,개조개,매입방류,148611,마리,0,,0,0,8890,0,20743,0,29633,0,7408,37041,250,250,각장 0.6,,기타 지자체사업,마을앞바다 소득원 조성사업,정성욱,055-650-5163,경상남도 통영시 산양읍 추도리,,--,,,
2023-01-01 ~ 2023-12-31,경상남도 의령군,붕어,매입방류,47500,마리,0,,0,0,0,0,4513,0,4513,0,0,4513,95,95,전장 5,,기타 지자체사업,내수면 수산종자 매입 방류사업,강봉구,055-570-4193,경상남도 의령군 의병로9동길 30,한일양어장,622-97-07782,박복만,"경상남도 김해시 진례면 송현리 420-3, 156, 157",
2023-01-01 ~ 2023-12-31,제주특별자치도 제주시,전복,매입방류,23000,마리,0,,0,0,19750,0,0,0,19750,0,0,19750,858.73,954.15,각장 3.5,,지자체사업/수산종자관리사업,수산종자매입방류,현지환,064-728-3364,제주특별자치도 제주시 도두동 1651-8,,--,,,"도두어촌계 전복 23,000마리 방류"
2023-01-01 ~ 2023-12-31,제주특별자치도 제주시,홍해삼,매입방류,20931,마리,105,kg,0,0,17999,0,0,0,17999,0,0,17999,859.95,955.52,,1~7,지자체사업/수산종자관리사업,수산종자매입방류,현지환,064-728-3364,제주특별자치도 제주시 이호동 1700-4,,--,,,"이호어촌계 홍해삼 20,931마리 방류"
2023-01-01 ~ 2023-12-31,제주특별자치도 제주시,오분자기,매입방류,21482,마리,0,,0,0,19999,0,0,0,19999,0,0,19999,837.88,930.99,각장 2,,지자체사업/수산종자관리사업,수산종자매입방류,현지환,064-728-3364,제주특별자치도 제주시 구좌읍 종달리 958-3,,--,,,"종달어촌계 오분자기 21,482마리 방류"
2023-05-26 ~ 2023-05-26,경상남도 남해군,해삼,무상방류,44444,마리,80000,kg,0,0,0,0,0,0,0,0,0,0,0,0,전장 1,2~2,기타 지자체사업,바다의 날 기념 방류,허주행,055-860-3484,경상남도 남해군 삼동면 물건리,,--,,,바다의 날 기념 무상방류(앵강만해삼영어조합법인)
2023-05-26 ~ 2023-05-26,경상남도 남해군,볼락,생산방류,24692,마리,0,,0,0,4000,0,6000,0,10000,0,0,10000,450,450,전장 5,2.9~3.0,기타 지자체사업,바다의 날 기념 방류,허주행,055-860-3484,경상남도 남해군 삼동면 물건리,,--,,,
2023-11-29 ~ 2023-11-29,경상남도 남해군,백합,생산방류,182690,마리,0,,0,0,26856,0,11510,0,38366,0,0,38366,211,0,전장 1.2,0.7~0.8,지자체사업/수산종자관리사업,소규모 바다목장 조성사업,허주행,055-860-3484,경상남도 남해군 미조면 송정리,,--,,,
2023-12-21 ~ 2023-12-21,경상남도 남해군,전복,생산방류,25000,마리,0,,3916,0,940,0,2193,0,3133,0,783,7832,313,0,3.5,,지자체사업/수산종자관리사업,자율관리어업 육성사업,허주행,055-860-3484,경상남도 남해군 미조면 송정리,,--,,,
2023-08-04 ~ 2023-08-04,경상남도 남해군,조피볼락,생산방류,38000,마리,0,,5000,0,1200,0,2800,0,4000,0,1000,10000,263,0,전장 5,2~2,지자체사업/수산종자관리사업,자율관리어업 육성사업,허주행,055-860-3484,경상남도 남해군 미조면 미조리,,--,,,
2023-01-01 ~ 2023-12-31,경상남도 남해군,새꼬막,생산방류,43080,마리,0,,0,0,10475,0,24442,0,34917,0,8729,43646,1,0,,,지자체사업/수산종자관리사업,마을 앞바다 소득원 조성사업,허주행,055-860-3484,경상남도 남해군 설천면 금음리,,--,,,
2023-12-18 ~ 2023-12-18,경상남도 남해군,해삼,생산방류,60000,마리,170,kg,0,0,0,0,21000,0,21000,0,9000,30000,500,0,,2~2,기타 지자체사업,마을어장 개발사업,허주행,055-860-3484,경상남도 남해군 남면 선구리,,--,,,
2023-12-21 ~ 2023-12-21,경상남도 남해군,전복,생산방류,69000,마리,0,,0,0,0,0,42000,0,42000,0,18000,60000,869,0,전장 3.5,,기타 지자체사업,마을어장 개발사업,허주행,055-860-3484,경상남도 남해군 미조면 미조리,,--,,,
2023-01-01 ~ 2023-12-31,경상남도 남해군,새꼬막,생산방류,151311,마리,0,,0,0,0,0,84000,0,84000,0,36000,120000,1,0,,,기타 지자체사업,마을어장 개발사업,허주행,055-860-3484,경상남도 남해군 남면 선구리,,--,,,
2023-02-03 ~ 2023-03-31,경상남도 남해군,꼼치,생산방류,332260000,마리,0,,0,0,0,0,3592,0,3592,0,0,3592,0,0,,,지자체사업/수산종자관리사업,기타,허주행,055-860-3484,경상남도 남해군 상주면 상주리,,--,,,
2023-01-01 ~ 2023-01-31,경상남도 남해군,대구 (수정란),생산방류,419000000,마리,0,,0,0,3650,0,8518,0,12168,1000,0,13168,0,0,,,지자체사업/수산종자관리사업,기타,허주행,055-860-3484,경상남도 남해군 삼동면 물건리,,--,,,
2023-05-17 ~ 2023-12-13,경상남도 남해군,해삼,매입방류,812552,마리,1774,kg,0,0,250000,0,125000,0,375000,0,41667,416667,509,541,1,2~2,지자체사업/수산종자관리사업,해삼씨뿌림,허주행,055-860-3484,경상남도 남해군 미조면 미조리,앵강수산,--,김금자,남해군 이동면 남해대로1567번길7,
2023-11-28 ~ 2023-12-01,경상북도 수산자원연구원,해삼,무상방류,600000,마리,2700,kg,0,0,0,0,0,0,0,0,0,0,0,0,,2~7,지자체사업/수산종자관리사업,수산종자생산 및 자원조성사업,김명희,054-730-1118,경상북도 연안 5개 시군,,,,,
2023-10-24 ~ 2023-10-27,경상북도 수산자원연구원,개량조개,무상방류,550000,마리,0,,0,0,0,0,0,0,0,0,0,0,0,0,각장 1,,지자체사업/수산종자관리사업,수산종자생산 및 자원조성사업,김명희,054-730-1118,경상북도 연안 5개 시군,,,,,
2023-05-09 ~ 2023-05-17,경상북도 수산자원연구원,쥐노래미,무상방류,300000,마리,0,,0,0,0,0,0,0,0,0,0,0,0,0,전장 5~7,,지자체사업/수산종자관리사업,수산종자생산 및 자원조성사업,김명희,054-730-1118,경상북도 연안 5개 시군,,,,,
2023-03-28 ~ 2023-11-22,경상북도 수산자원연구원,전복,무상방류,600000,마리,0,,0,0,0,0,0,0,0,0,0,0,0,0,각장 3.5,,지자체사업/수산종자관리사업,수산종자생산 및 자원조성사업,김명희,054-730-1118,경상북도 연안 5개 시군,,,,,
2023-05-16 ~ 2023-05-23,경상북도 수산자원연구원,물렁가시붉은새우,무상방류,300000,마리,0,,0,0,0,0,0,0,0,0,0,0,0,0,전장 1.5~3,,지자체사업/수산종자관리사업,수산종자생산 및 자원조성사업,김명희,054-730-1118,경상북도 연안 2개 시군,,,,,도화새우 종자생산 방류
2023-07-20 ~ 2023-08-16,경상북도 수산자원연구원,문치가자미,무상방류,535000,마리,0,,0,0,0,0,0,0,0,0,0,0,0,0,전장 4,,지자체사업/수산종자관리사업,수산종자생산 및 자원조성사업,김명희,054-730-1118,경상북도 연안 5개 시군,,,,,
2023-09-13 ~ 2023-09-22,경상북도 수산자원연구원,개볼락,무상방류,70000,마리,0,,0,0,0,0,0,0,0,0,0,0,0,0,전장 5~7,,지자체사업/수산종자관리사업,수산종자생산 및 자원조성사업,김명희,054-730-1118,경상북도 연안 3개 시군,,,,,
2023-08-31 ~ 2023-10-13,경상남도 남해군,보리새우,매입방류,5060851,마리,0,,0,0,36000,0,4000,0,40000,0,0,40000,10.5,45,전장 1.2,0.006~0.008,지자체사업/수산종자관리사업,수산종자매입방류,허주행,055-860-3484,경상남도 남해군 설천면 금음리,복진수산,--,유미옥,남해군 이동면 남해대로 1469,
2023-01-01 ~ 2023-12-31,경상남도 남해군,문치가자미,매입방류,64348,마리,0,,0,0,45000,0,5000,0,50000,0,0,50000,750,850,전장 4,1.03~1.13,지자체사업/수산종자관리사업,수산종자매입방류,허주행,055-860-3484,경상남도 남해군 삼동면 물건리,지연수산,--,남경남,거제시 동부면 율포4길 46,
2023-01-01 ~ 2023-12-31,경상남도 남해군,볼락,매입방류,114943,마리,0,,0,0,45000,0,5000,0,50000,0,0,50000,435,450,전장 5,2.23~2.36,지자체사업/수산종자관리사업,수산종자매입방류,허주행,055-860-3484,경상남도 남해군 서면 서상리,뉴월드양식센터,--,정민환,,
2023-01-01 ~ 2023-12-31,경상남도 남해군,꽃게,매입방류,187508,마리,0,,0,0,36000,0,4000,0,40000,0,0,40000,211,240,갑폭 1,0.04~0.05,지자체사업/수산종자관리사업,수산종자매입방류,허주행,055-860-3484,경상남도 남해군 고현면 이어리,현수산,--,현상온,남해군 삼동면 동부대로 942번길 34-15,
2023-01-01 ~ 2023-12-31,경상남도 남해군,감성돔,매입방류,193209,마리,0,,0,0,74250,0,8250,0,82500,0,0,82500,427,450,전장 5,3.41~3.48,지자체사업/수산종자관리사업,수산종자매입방류,허주행,055-860-3484,경상남도 남해군 창선면 가인리 482-3,뉴월드양식센터,--,정민환,고성군 하일면 자란만로 1386,
2023-09-07 ~ 2023-09-19,한국수산자원공단 남해본부,문치가자미,매입방류,71074,마리,0,,54387,0,0,0,14768,0,14768,0,0,69155,973,973,,,지자체사업/수산종자관리사업,수산종자매입방류,연인호,061-640-1919,경상남도 창원시 마산합포구 구산면 심리,대지수산,613-92-07556,이상모,경상남도 남해군 삼동면 동부대로802-12,
2023-06-14 ~ 2023-06-14,한국수산자원공단 남해본부,볼락,매입방류,142242,마리,0,,0,0,0,0,66000,0,66000,0,0,66000,463.997,474,,,지자체사업/수산종자관리사업,수산종자매입방류,연인호,061-640-1919,경상남도 남해군 미조면 송정리,뉴월드양식센터,381-96-01328,정민환,경상남도 고성군 하일면 자란만로1386,
2023-11-29 ~ 2023-11-29,한국수산자원공단 남해본부,백합,매입방류,237484,마리,0,,0,0,0,0,38365,0,38365,0,0,38365,209.999,223,,,지자체사업/수산종자관리사업,수산종자매입방류,연인호,061-640-1919,경상남도 남해군 미조면 송정리,한국패류양식 영어조합법인,417-81-40984,박종호,전라남도 여수시 화양면 화양로890-24,
2023-06-28 ~ 2023-06-28,한국수산자원공단 남해본부,말쥐치,매입방류,521151,마리,0,,196000,0,0,0,23915,0,23915,0,0,219915,421.98,499,,,지자체사업/수산종자관리사업,수산종자매입방류,연인호,061-640-1919,경상남도 거제시 남부면 다포리,한일씨월드,612-92-09508,유외진,경상남도 통영시 풍화일주로541-21(산양읍),
2023-01-01 ~ 2023-12-31,경기도 연천군,다슬기,매입방류,1893939,마리,0,,0,0,17499,0,17499,0,34998,0,0,34998,18.5,20,,,지자체사업/수산종자관리사업,수산종자매입방류,이민기,031-839-2321,경기도 연천군 전곡읍 마포리 산40,,--,,,
2023-11-03 ~ 2023-11-03,강원특별자치도 양구군,다슬기,매입방류,1052631,마리,0,,0,0,16800,0,3200,0,20000,0,0,20000,19,22,전장 0.7,0.14~0.15,지자체사업/수산종자관리사업,수산종자매입방류,추민재,033-480-7791,양구군 방산면 수입천 일원,,,,,
2023-10-27 ~ 2023-10-27,강원특별자치도 양구군,대농갱이,매입방류,20540,마리,0,,0,0,5935,0,1131,0,7066,0,0,7066,344,363,전장 5,1.43~1.44,지자체사업/수산종자관리사업,수산종자매입방류,추민재,033-480-7791,양구군 양구선착장,,,,,
